Year,Month,Day,Time of Tweet,text,sentiment,Platform
2023,9,26,noon,Encountering online toxicity during a gaming session. Hateful comments can ruin the fun. , negative , Twitter 
2023,9,27,noon,Having a bad hair day and feeling self-conscious. Bad hair days can affect confidence. , negative , Instagram 
2023,9,28,night,Feeling a sense of despair after a major project failure. Hard work didn't pay off this time. , negative , Facebook 
2023,9,29,noon,Experiencing hate comments for expressing personal opinions. Online negativity prevails. , negative , Twitter 
2023,9,30,night,Having a string of bad luck with constant technology malfunctions. Tech troubles galore! , negative , Instagram 
2023,10,1,noon,Missing out on a long-anticipated event due to unexpected circumstances. A day filled with sadness. , negative , Facebook 
2023,10,2,noon,Trying out a new study technique for upcoming exams. Exploring different learning strategies. , neutral , Instagram 
2023,10,3,noon,Organizing a community cleanup event for a cleaner neighborhood. Promoting environmental awareness. , neutral , Twitter 
2023,10,4,night,Sharing favorite book recommendations with classmates. Building a mini book club. , neutral , Facebook 
2023,10,5,noon,Experimenting with a new recipe for a school bake sale. Baking adventures in the kitchen. , neutral , Instagram 
2023,10,6,noon,Collaborating on a school project with peers. Teamwork makes the dream work. , neutral , Twitter 
2023,10,7,night,Attending a school club meeting to explore new interests. Dabbling in extracurricular activities. , neutral , Instagram 
2023,10,8,noon,Exploring a new part-time job opportunity for gaining work experience. Career development in progress. , neutral , Facebook 
2023,10,9,night,Attending a school assembly to stay informed about upcoming events and announcements. Staying connected with school activities. , neutral , Twitter 
2023,10,10,noon,Exploring a new hobby of photography during free time. Capturing moments through a lens. , neutral , Instagram 
2023,10,11,noon,Participating in a science fair to showcase a unique experiment. Sharing knowledge with peers. , neutral , Facebook 
2023,10,12,night,Attending a workshop on time management to enhance organizational skills. Striving for efficiency. , neutral , Twitter 
2023,10,13,noon,Volunteering at a local charity event to give back to the community. Contributing to social causes. , neutral , Instagram 
2023,10,14,noon,Collaborating on a group project to promote teamwork and shared responsibilities. Group effort in action. , neutral , Facebook 
2023,10,15,night,Participating in a debate club to enhance critical thinking and communication skills. Intellectual engagement in progress. , neutral , Twitter 
2023,10,16,noon,Celebrating a friend's birthday with a surprise party. Joyful moments and laughter all around! , positive , Instagram 
2023,10,17,noon,Successfully completing a challenging coding project. Excitement for overcoming coding hurdles! , positive , Twitter 
2023,10,18,noon,Attending a school talent show to support classmates. Applauding the diverse talents on display! , positive , Facebook 
2023,10,20,noon,Winning a friendly sports competition against rival schools. Victory celebrations in full swing! , positive , Twitter 
2023,10,21,noon,Receiving a heartfelt letter from a pen pal in another country. Connecting across the globe! , positive , Facebook 
2023,10,22,night,Creating a beautiful mural with fellow art enthusiasts. The power of collaboration and creativity! , positive , Instagram 
2015,11,10,noon,Participating in a school-wide art exhibition. Witnessing creativity and spreading positive vibes! , positive , Instagram 
2016,9,14,noon,Achieving a personal best in a track and field competition. The thrill of victory and self-improvement! , positive , Twitter 
2017,8,18,night,Collaborating on a science project that received recognition at a regional fair. Science triumphs and smiles! , positive , Facebook 
2019,4,5,noon,Successfully fundraising for a school charity initiative. The joy of giving back to the community! , positive , Twitter 
